REFKEY	TITLE	TITLE2	AUTHORS	AUTHORS2	JOURNAL	VOLUME	YEAR	PAGES	JNUM	PMID
29	In wap-ras transgenic mice, tumor phenotype but not cyclophosphamide-sensitivity is affected by genetic background.		Nielsen LL; Gurnani M; Catino JJ; Tyler RD		Anticancer Res	15	1995	385-92	J:46464	7763010
31	Effect of ascorbic acid on incidence of spontaneous mammary tumors and UV-light-induced skin tumors in mice.		Pauling L		Am J Clin Nutr	54	1991	1252S-1255S	J:634	1962578
32	Effect of the amount of dietary fat on the development of mammary tumors in BALB/c-MTV mice.		Zevenbergen JL; Verschuren PM; Zaalberg J; van Stratum P; Vles RO		Nutr Cancer	17	1992	9-18	J:1469	1574447
33	Mouse mammary tumor virus infection accelerates mammary carcinogenesis in Wnt-1 transgenic mice by insertional activation of int-2/Fgf-3 and hst/Fgf-4.		Shackleford GM; MacArthur CA; Kwan HC; Varmus HE		Proc Natl Acad Sci U S A	90	1993	740-4	J:3728	8380647
34	Calories, parity, and prolactin influence mammary epithelial kinetics and differentiation and alter mouse mammary tumor risk.		Engelman RW; Day NK; Good RA		Cancer Res	53	1993	1188-94	J:4072	8382558
35	Characterization of mammary plaques in DDD mice congenic for Mtv-2 gene, DDD/1-Mtv-2/Mtv-2.		Matsuzawa A; Kaneko T; Takeda Y; Murakami A; Tsubura A		Jpn J Cancer Res	84	1993	48-54	J:4256	8383648
36	Regulation of endogenous murine mammary tumor virus expression in C57BL mouse lactating mammary glands: transcription of functional mRNA with a block at the translational level.		Vaidya AB; Taraschi NE; Tancin SL; Long CA		J Virol	46	1983	818-28	J:7071	6304344
37	A new locus (Mtv-4) for endogenous mammary tumor virus expression and early mammary tumor development in the SHN mouse strain.		Imai S; Tsubura Y; Hilgers J; Michalides R		J Natl Cancer Inst	71	1983	517-21	J:7178	6310199
38	Targeted c-myc gene expression in mammary glands of transgenic mice induces mammary tumours with constitutive milk protein gene transcription.		Schoenenberger CA; Andres AC; Groner B; van der Valk M; LeMeur M; Gerlinger P		EMBO J	7	1988	169-75	J:9143	2834201
39	Sequential process of blood-borne lung metastases of spontaneous mammary carcinoma in C3H mice.		Sugino T; Kawaguchi T; Suzuki T		Int J Cancer	55	1993	141-7	J:14583	7688351
40	Mammary tumour induction by pituitary grafting in male mice: an animal model for male breast cancer.		Nagasawa H; Morii S; Furuichi R; Iwai Y; Iwai M; Mori T; Goto Y		Lab Anim	27	1993	358-63	J:15288	8277709
41	Menhaden, coconut, and corn oils and mammary tumor incidence in BALB/c virgin female mice treated with DMBA.		Craig-Schmidt M; White MT; Teer P; Johnson J; Lane HW		Nutr Cancer	20	1993	99-106	J:15439	8233985
42	Expression of the int-1 gene in transgenic mice is associated with mammary gland hyperplasia and adenocarcinomas in male and female mice.		Tsukamoto AS; Grosschedl R; Guzman RC; Parslow T; Varmus HE		Cell	55	1988	619-25	J:28473	3180222
44	Estradiol 16 alpha-hydroxylation in the mouse correlates with mammary tumor incidence and presence of murine mammary tumor virus: a possible model for the hormonal etiology of breast cancer in humans.		Bradlow HL; Hershcopf RJ; Martucci CP; Fishman J		Proc Natl Acad Sci U S A	82	1985	6295-9	J:37506	2994069
45	Diverse tumorigenesis associated with aberrant development in mice overexpressing hepatocyte growth factor/scatter factor.		Takayama H; LaRochelle WJ; Sharp R; Otsuka T; Kriebel P; Anver M ; Aaronson SA ; Merlino G		Proc Natl Acad Sci U S A	94	1997	701-6	J:37771	9012848
47	Heart levels of adriamycin in normal and tumor-bearing mice.		Donelli MG; Martini A; Colombo T; Bossi A; Garattini S		Eur J Cancer	12	1976	913-23	J:38163	991900
50	Induction of invasive squamous cell carcinomas in the forestomach of (C3H x MSM)F1, MSM, and C3H mice by N-methyl-N-nitrosourea and mutational analysis of the H-ras and p53 genes.		Masui T; Tezuka N; Nakanishi H; Inada K; Miyashita N; Tatematsu M		Cancer Lett	111	1997	97-104	J:38729	9022133
52	Induction of mammary cancer and lymphoma by multiple, low oral doses of 7,12-dimethylbenz[a]anthracene in SENCAR mice.		Qing WG; Conti CJ; LaBate M; Johnston D; Slaga TJ; MacLeod MC		Carcinogenesis	18	1997	553-9	J:39127	9067556
54	4-nitroquinoline-1-oxide (4NQO)-induced murine oral cavity carcinogenesis: A paradigm of human head and neck cancer.		Hendler FJ; Yuan B; Heniford BW; Hawkins BL; Oechsli MN; Lentsch EM; Hu LH; Menes JC; Alagar R; ShumSiu A; Ackermann DM				1996	79-87	J:39261	 
55	Induction of graft vs. tumor effect in a murine model of mammary adenocarcinoma.		Morecki S; Moshel Y; Gelfend Y; Pugatsch T; Slavin S		Int J Cancer	71	1997	59-63	J:39355	9096666
56	Dose-dependent induction of both pepsinogen-altered pyloric glands and adenocarcinomas in the glandular stomach of C3H mice treated with N-methyl-N-nitrosourea.		Yamamoto M; Furihata C; Fujimitsu Y; Imai T; Inada K; Nakanishi H ; Tatematsu M		Jpn J Cancer Res	88	1997	238-44	J:39579	9140107
57	Both K-ras and H-ras protooncogene mutations are associated with Harderian gland tumorigenesis in B6C3F1 mice exposed to isoprene for 26 weeks.		Hong HL; Devereux TR; Melnick RL; Eldridge SR; Greenwell A; Haseman J ; Boorman GA ; Sills RC		Carcinogenesis	18	1997	783-9	J:39817	9111215
59	p53 mutations in MeIQ-induced mouse forestomach tumors.		Makino H; Ushijima T; Onda M; Nagao M		Nippon Ika Daigaku Zasshi	64	1997	39-44	J:40110	9119951
62	Rare occurrence of ras and p53 gene mutations in mouse stomach tumors induced by N-methyl-N-nitrosourea.		Furihata C; Tatematsu M; Saito M; Ishida S; Nakanishi H; Inada K ; Tei H ; Hattori M ; Ito T ; Sakaki Y		Jpn J Cancer Res	88	1997	363-8	J:40723	9197527
71	A region within murine chromosome 7F4, syntenic to the human 11q13 amplicon, is frequently amplified in 4NQO-induced oral cavity tumors.		Yuan B; Oechsli MN; Hendler FJ		Oncogene	15	1997	1161-70	J:42971	9294609
72	A transgenic mouse model with cyclin D1 overexpression results in cell cycle, epidermal growth factor receptor, and p53 abnormalities.		Mueller A; Odze R; Jenkins TD; Shahsesfaei A; Nakagawa H; Inomoto T; Rustgi AK		Cancer Res	57	1997	5542-9	J:45230	9407965
73	Dose-dependent promoting effects of catechol on glandular stomach carcinogenesis in BALB/c mice initiated with N-methyl-N-nitrosourea		Kobayashi K; Shimizu N; Tsukamoto T; Inada K; Nakanishi H; Goto K; Mutai M; Tatematsu M		Jpn J Cancer Res	88	1997	1143-8	J:45381	9473731
77	Resistance of various inbred strains of mice to tumor homoiotransplants, and its relation to the H-2 allele which each carries				J Natl Cancer Inst	14	1953	485-491		
81	Two-way selection of a stock of Swiss albino mice for mammary tumorigenesis: establishment of two new strains (SHN and SLN).		Nagasawa H; Yanai R; Taniguchi H; Tokuzen R; Nakahara W		J Natl Cancer Inst	57	1976	425-30	J:25446	187774
83	Disease descriptions and incidences		Clapp NK				1973		J:49029	 
84	The targeting of the cyclin D1 oncogene by an Epstein-Barr virus promoter in transgenic mice causes dysplasia in the tongue, esophagus and forestomach.		Nakagawa H; Wang TC; Zukerberg L; Odze R; Togawa K; May GH; Wilson J; Rustgi AK		Oncogene	14	1997	1185-90	J:48597	9121767
91	Progressive loss of H-2 antigens with concomitant increase of cell-surface antigen(s) determined by Moloney leukemia virus in cultured murine lymphomas.				J Natl Cancer Inst	50	1973	347-62		
92	Establishment and characterization of BALB/c lymphoma lines with B cell properties.				J Immunol	122	1979	549-54		
98	Plasma gonadotropin levels during early stages of ovarian tumorigenesis in mice of the W x -W v genotype.		Murphy ED; Beamer WG		Cancer Res	33	1973	721-3	J:48589	4696472
99	Spontaneous malignant granulosa cell tumors in ovaries of young SWR mice.		Beamer WG; Hoppe PC; Whitten WK		Cancer Res	45	1985	5575-81	J:34553	4053032
100	Ovarian tumors not induced by irradiation and gonadotropins in hypogonadal (hpg) mice.		Tennent BJ; Beamer WG		Biol Reprod	34	1986	751-60	J:48591	3708055
101	Gonadotropin uptake in genetic and irradiation models of ovarian tumorigenesis.		Beamer WG; Tennent BJ		Biol Reprod	34	1986	761-70	J:48594	3085740
102	Gonadotropin, steroid, and thyroid hormone milieu of young SWR mice bearing spontaneous granulosa cell tumors.		Beamer WG		J Natl Cancer Inst	77	1986	1117-23	J:48593	3095581
103	Induction of ovarian granulosa cell tumors in SWXJ-9 mice with dehydroepiandrosterone.		Beamer WG; Shultz KL; Tennent BJ		Cancer Res	48	1988	2788-92	J:27621	2965969
104	Gene for ovarian granulosa cell tumor susceptibility, Gct, in SWXJ recombinant inbred strains of mice revealed by dehydroepiandrosterone.		Beamer WG; Tennent BJ; Shultz KL; Nadeau JH; Shultz LD; Skow LC		Cancer Res	48	1988	5092-5	J:9301	2970296
105	Epidermal growth factor receptors in spontaneous ovarian granulosa cell tumors of SWR-derived mice.		Tennent BJ; Beamer WG; Shultz LD; Adamson ED		Int J Cancer	44	1989	477-82	J:48592	2789196
106	Ovarian granulosa cell tumorigenesis in SWR-derived F1 hybrid mice: preneoplastic follicular abnormality and malignant disease progression.		Tennent BJ; Shultz KL; Sundberg JP; Beamer WG		Am J Obstet Gynecol	163	1990	625-34	J:48590	2386155
107	Genetic susceptibility for C19 androgen induction of ovarian granulosa cell tumorigenesis in SWXJ strains of mice.		Tennent BJ; Shultz KL; Beamer WG		Cancer Res	53	1993	1059-63	J:4202	8439952
108	Granulosa cell tumorigenesis in genetically hypogonadal-immunodeficient mice grafted with ovaries from tumor-susceptible donors.		Beamer WG; Shultz KL; Tennent BJ; Shultz LD		Cancer Res	53	1993	3741-6	J:14443	8339285
109	Comparison of chemical carcinogen skin tumor induction efficacy in inbred, mutant, and hybrid strains of mice: Morphologic variations of induced tumors and absence of a papillomavirus cocarcinogen.		Sundberg JP; Sundberg BA; Beamer WG		Mol Carcinog	20	1997	19-32	J:43880	9328433
110	Hormone synthesis and responsiveness of spontaneous granulosa cell tumors in (SWR x SWXJ-9) F1 mice.		Gocze PM; Beamer WG; de Jong FH; Freeman DA		Gynecol Oncol	65	1997	143-8	J:48782	9103404
111	Multigenic and imprinting control of ovarian granulosa cell tumorigenesis in mice.		Beamer WG; Shultz KL; Tennent BJ; Nadeau JH; Churchill GA; Eicher EM		Cancer Res	58	1998	3694-9	J:49710	9721880
112	Spontaneous Leydig cell tumors in inbred laboratory mice.		Mahler M; Sundberg JP		Lab Anim Sci	47	1997	148-52	J:45430	9150493
113	Lipomatous hamartomas and choristomas in inbred laboratory mice.		Adkison DL; Sundberg JP		Vet Pathol	28	1991	305-12	J:2714	1949510
114	Forestomach papillomas in flaky skin and steel-Dickie mutant mice.		Sundberg JP; Kenty GA; Beamer WG; Adkison DL		J Vet Diagn Invest	4	1992	312-7	J:2777	1325193
115	Coincidental development of forestomach papilloma and prepyloric ulcer in nontreated mutant mice of W/Wv and SI/SId genotypes.		Kitamura Y; Yokoyama M; Matsuda H; Shimada M		Cancer Res	40	1980	3392-7	J:6393	7000343
116	Induced ovarian and adrenal tumors		Hummel KP		J Natl Cancer Inst	15	1954	711-715	J:50501	13233920
117	Observations on the effect of thymectomy on spontaneous leukemias in mice of the high-leukemic strains, RIL and C58		Law LW; Miller JH		J Natl Cancer Inst	11	1950	253-62	J:2445	14795182
118	The R.I.L. strain of mice. Its relation to the leukemic AK strain and AKR substrains		Lynch CJ		J Natl Cancer Inst	15	1954	161-76	J:2451	13233875
119	Spontaneous tumors and pathologic lesions in SWR-J mice.		Rabstein LS; Peters RL; Spahn GJ		J Natl Cancer Inst	50	1973	751-8	J:25858	4732946
120	Lifespan and incidence of cancer and other diseases in selected long-lived inbred mice and their F 1 hybrids.		Smith GS; Walford RL; Mickey MR		J Natl Cancer Inst	50	1973	1195-213	J:22620	4351393
121	Development of tumors, especially mammary tumors, in agent-free strain DBA/2eB mice		Deringer MK		J Natl Cancer Inst	28	1962	203-210	J:2414	13885590
122	High incidence of spontaneous hepatomas and the increase of this incidence with urethan in C3H, C3Hf, and C3He male mice		Heston WE; Vlahakis G; Deringer MK		J Natl Cancer Inst	24	1960	425-435	J:2433	14401531
123	SJL/J, a new inbred strain of mouse with a high, early incidence of reticulum-cell neoplasms		Murphy ED		Proc Am Assoc Cancer Res	4	1963	46 (Abstr.)	J:2463	 
124	Longevity and gross pathology at death in 22 inbred mouse strains.		Storer JB		J Gerontol	21	1966	404-9	J:22621	5944803
125	The effect of subcutaneous inoculation of 4-o-Tolylazo-o-Toluidine in strain HR mice		Deringer MK		J Natl Cancer Inst	17	1956	533-9	J:24688	13367821
126	Occurrence of tumors, particularly mammary tumors, in agent-free strain C3HeB mice		Deringer MK		J Natl Cancer Inst	22	1959	995-1002	J:24689	13655075
127	Strain DD, a new high mammary tumor strain, and comparison of DD with strain C3H		Heston WE; Vlahakis G; Tsubura Y		J Natl Cancer Inst	32	1964	237-51	J:24690	14114970
128	Genetic control by the hr-locus of susceptibility and resistance to leukemia.		Meier H; Myers DD; Huebner RJ		Proc Natl Acad Sci U S A	63	1969	759-66	J:24786	4310515
129	Spontaneous lesions in virgin and retired breeder BALB/c and C57BL/6 mice.		Frith CH; Highman B; Burger G; Sheldon WD		Lab Anim Sci	33	1983	273-86	J:27148	6876733
131	Age-related spontaneous uterine lesions in mice.		Malinin GI; Malinin IM		J Gerontol	27	1972	193-6	J:39983	5060720
132	Inheritance of susceptibility to spontaneous pulmonary tumors in mice		Heston WE		J Natl Cancer Inst	3	1942	79-82	J:50503	 
133	Ovarian tumors induced by a sterilizing steroid		Lipschutz A; Iglesias R; Salinas S		Nature	196	1962	946-948	J:50504	 
134	Neoplasms in the C3H strain and in F1 hybrid mice of two crosses following introduction of extracts and filtrates of leukemic tissues		Law LW; Dunn TB; Boyle PJ		J Natl Cancer Inst	16	1955	495-539	J:50505	13263918
135	Further observations on late somatic effects of radiomimetic chemicals and x-rays in mice		Conklin JW; Upton AC; Christenberry KW		Cancer Res	25	1965	20-28	J:50506	14254989
136	Spontaneous hepatocellular neoplasms and hepatic hemangiosarcomas in several strains of mice.		Frith CH; Wiley L		Lab Anim Sci	32	1982	157-62	J:50507	6281574
137	Characteristic Tumors		Murphy ED				1966	521-62	J:24830	 
138	Genetic and environmental influences on teratocarcinogenesis in mice		Stevens LC; Mackensen JA		J Natl Cancer Inst	27	1961	443-453	J:50508	 
139	Pituitary tumorigenesis in aging female C57BL/6J mice: a light and electron microscopic study.		Schechter JE; Felicio LS; Nelson JF; Finch CE		Anat Rec	199	1981	423-32	J:50509	7258686
140	Animal model of human disease: benign cystic and malignant ovarian teratoma.		Stevens LC		Am J Pathol	85	1976	809-13	J:50510	998739
141	Resistance to skin tumorigenesis by 3-methylcholanthrene in mice susceptible to leukemia.		Duran-Reynals ML; Cook C		J Natl Cancer Inst	52	1974	1001-3	J:50511	4363686
142	Occurrence of mammary tumors, reticular neoplasms, and pulmonary tumors in strain BALB-cAnDe breeding female mice.		Deringer MK		J Natl Cancer Inst	35	1965	1047-52	J:50512	5323146
143	Spontaneous pituitary tumorigenesis and plasma oestradiol in ageing female C57BL/6J mice.		Felicio LS; Nelson JF; Finch CE		Exp Gerontol	15	1980	139-43	J:24262	7190097
144	Primary harderian gland neoplasms in mice.		Sheldon WG; Curtis M; Kodell RL; Weed L		J Natl Cancer Inst	71	1983	61-8	J:48633	6575211
145	Effects of an Rb mutation in the mouse [see comments]		Jacks T; Fazeli A; Schmitt EM; Bronson RT; Goodell MA; Weinberg RA		Nature	359	1992	295-300	J:2511	1406933
146	Tumor spectrum analysis in p53-mutant mice.		Jacks T; Remington L; Williams BO; Schmitt EM; Halachmi S; Bronson RT; Weinberg RA		Curr Biol	4	1994	1-7	J:17728	7922305
147	Targeted disruption of p107: functional overlap between p107 and Rb.		Lee MH; Williams BO; Mulligan G; Mukai S; Bronson RT; Dyson N; Harlow E; Jacks T		Genes Dev	10	1996	1621-32	J:34058	8682293
148	Cooperative tumorigenic effects of germline mutations in Rb and p53.		Williams BO; Remington L; Albert DM; Mukai S; Bronson RT; Jacks T		Nat Genet	7	1994	480-4	J:19542	7951317
149	Retinoblastoma in transgenic mice.		Windle JJ; Albert DM; O'Brien JM; Marcus DM; Disteche CM; Bernards R; Mellon PL		Nature	343	1990	665-9	J:10320	1689463
150	Standardized Nomenclature for Inbred Strains of Mice: eighth listing.		Staats J		Cancer Res	45	1985	945-77	J:50296	3971387
151	Ornithine decarboxylase expression in cutaneous papillomas in SENCAR mice is associated with altered expression of keratins 1 and 10.		Sundberg JP; Erickson AA; Roop DR; Binder RL		Cancer Res	54	1994	1344-51	J:17018	7509717
152	Myoepitheliomas in inbred laboratory mice.		Sundberg JP; Hanson CA; Roop DR; Brown KS; Bedigian HG		Vet Pathol	28	1991	313-23	J:22767	1719689
153	Skeletal muscle rhabdomyosarcomas in inbred laboratory mice.		Sundberg JP; Adkison DL; Bedigian HG		Vet Pathol	28	1991	200-6	J:24311	1830433
154	Hemangiomas and hemangiosarcomas in inbred laboratory mice.		Booth CJ; Sundberg JP		Lab Anim Sci	45	1995	497-502	J:30363	8569146
155	Squamous cell hyperplastic foci: precursors of cutaneous papillomas induced in SENCAR mice by a two-stage carcinogenesis regimen.		Binder RL; Johnson GR; Gallagher PM; Stockman SL; Sundberg JP; Conti CJ		Cancer Res	58	1998	4314-23	J:50210	9766659
156	Evidence that initiated keratinocytes clonally expand into multiple existing hair follicles during papilloma histogenesis in SENCAR mouse skin.		Binder RL; Gallagher PM; Johnson GR; Stockman SL; Smith BJ; Sundberg JP; Conti CJ		Mol Carcinog	20	1997	151-8	J:43952	9328446
157	Motif-primed polymerase chain reaction-based allelotype of sarcomas induced by 3-methylcholanthrene in interspecific hybrid mice.		Dudley ME; Sundberg JP; Roopenian DC		Oncogene	11	1995	517-24	J:28002	7630636
158	Frequency and histological appearance of adenomas in multiple intestinal neoplasia mice are unaffected by severe combined immunodeficiency (scid) mutation.		Dudley ME; Sundberg JP; Roopenian DC		Int J Cancer	65	1996	249-53	J:31690	8567125
160	Spontaneous vulvar carcinomas in 129/J mice.		Locklear J; Mahler J; Thigpen JE; Goelz MF; Forsythe D		Lab Anim Sci	45	1995	604-6	J:30090	8569168
161	Mice deficient for p53 are developmentally normal but susceptible to spontaneous tumours.		Donehower LA; Harvey M; Slagle BL; McArthur MJ; Montgomery CA Jr; Butel JS; Bradley A		Nature	356	1992	215-21	J:1999	1552940
162	Deficiency of p53 accelerates mammary tumorigenesis in Wnt-1 transgenic mice and promotes chromosomal instability.		Donehower LA; Godley LA; Aldaz CM; Pyle R; Shi YP; Pinkel D; Gray J; Bradley A; Medina D; Varmus HE		Genes Dev	9	1995	882-95	J:24407	7705663
163	Effects of genetic background on tumorigenesis in p53-deficient mice.		Donehower LA; Harvey M; Vogel H; McArthur MJ; Montgomery CA Jr; Park SH; Thompson T; Ford RJ; Bradley A		Mol Carcinog	14	1995	16-22	J:29486	7546219
164	Pten is essential for embryonic development and tumour suppression.		Di Cristofano A; Pesce B; Cordon-Cardo C; Pandolfi PP		Nat Genet	19	1998	348-55	J:49532	9697695
166	Acute leukemia with promyelocytic features in PML/RARalpha transgenic mice.		He LZ; Tribioli C; Rivi R; Peruzzi D; Pelicci PG; Soares V; Cattoretti G ; Pandolfi PP		Proc Natl Acad Sci U S A	94	1997	5302-7	J:40373	9144232
167	Bax suppresses tumorigenesis and stimulates apoptosis in vivo.		Yin C; Knudson CM; Korsmeyer SJ; Van Dyke T		Nature	385	1997	637-40	J:38331	9024662
168	Expression of cell cycle proteins in 4-(methylnitrosamino)-1-(3-pyridyl)-1-butanone-induced mouse lung tumors.		Sabourin CL; Wang QS; Ralston SL; Evans J; Coate J; Herzog CR; Jones SL; Weghorst CM; Kelloff GJ; Lubet RA; You M; Stoner GD		Exp Lung Res	24	1998	499-521	J:50428	9659580
169	Comparative expression of novel vascular endothelial growth factor/vascular permeability factor transcripts in skin, papillomas, and carcinomas of v-Ha-ras Tg.AC transgenic mice and FVB/N mice.		Tober KL; Cannon RE; Spalding JW; Oberyszyn TM; Parrett ML; Rackoff AI; Oberyszyn AS; Tennant RW; Robertson FM		Biochem Biophys Res Commun	247	1998	644-53	J:48326	9647747
171	Photocarcinogenesis and susceptibility to UV radiation in the v-Ha-ras transgenic Tg.AC mouse.		Trempus CS; Mahler JF; Ananthaswamy HN; Loughlin SM; French JE; Tennant RW		J Invest Dermatol	111	1998	445-51	J:49862	9740239
172	Spontaneous intestinal carcinomas and skin neoplasms in Msh2-deficient mice.		Reitmair AH; Redston M; Cai JC; Chuang TC; Bjerknes M; Cheng H; Hay K; Gallinger S; Bapat B; Mak TW		Cancer Res	56	1996	3842-9	J:34940	8706033
175	Tumor induction and tissue atrophy in mice lacking E2F-1.		Yamasaki L; Jacks T; Bronson R; Goillot E; Harlow E; Dyson NJ		Cell	85	1996	537-48	J:33099	8653789
176	Mice heterozygous for a mutation at the Nf2 tumor suppressor locus develop a range of highly metastatic tumors.		McClatchey AI; Saotome I; Mercer K; Crowley D; Gusella JF; Bronson RT; Jacks T		Genes Dev	12	1998	1121-33	J:47282	9553042
177	Cooperative effects of INK4a and ras in melanoma susceptibility in vivo.		Chin L; Pomerantz J; Polsky D; Jacobson M; Cohen C; Cordon-Cardo C; Horner JW 2nd; DePinho RA		Genes Dev	11	1997	2822-34	J:44088	9353252
178	Telomere shortening and tumor formation by mouse cells lacking telomerase RNA [see comments]		Blasco MA; Lee HW; Hande MP; Samper E; Lansdorp PM; DePinho RA ; Greider CW		Cell	91	1997	25-34	J:43517	9335332
179	Mouse mammary tumor virus/v-Ha-ras transgene-induced mammary tumors exhibit strain-specific allelic loss on mouse chromosome 4.		Radany EH; Hong K; Kesharvarzi S; Lander ES; Bishop JM		Proc Natl Acad Sci U S A	94	1997	8664-9	J:42251	9238034
180	Targeted expression of MYCN causes neuroblastoma in transgenic mice.		Weiss WA; Aldape K; Mohapatra G; Feuerstein BG; Bishop JM		EMBO J	16	1997	2985-95	J:41126	9214616
181	Gene interaction and single gene effects in colon tumour susceptibility in mice [see comments]		van Wezel T; Stassen AP; Moen CJ; Hart AA; van der Valk MA; Demant P		Nat Genet	14	1996	468-70	J:36996	8944029
182	Complex interactions of new quantitative trait loci, Sluc1, Sluc2, Sluc3, and Sluc4, that influence the susceptibility to lung cancer in the mouse.		Fijneman RJ; de Vries SS; Jansen RC; Demant P		Nat Genet	14	1996	465-7	J:36997	8944028
183	Expression of a truncated Int3 gene in developing secretory mammary epithelium specifically retards lobular differentiation resulting in tumorigenesis.		Gallahan D; Jhappan C; Robinson G; Hennighausen L; Sharp R; Kordon E; Callahan R; Merlino G; Smith GH		Cancer Res	56	1996	1775-85	J:33193	8620493
185	Keratinocyte growth factor induces mammary and prostatic hyperplasia and mammary adenocarcinoma in transgenic mice.		Kitsberg DI; Leder P		Oncogene	13	1996	2507-15	J:37679	9000125
186	A mouse model of human familial adenomatous polyposis.		Yang K; Edelmann W; Fan K; Lau K; Kolli VR; Fodde R; Khan PM; Kucherlapati R; Lipkin M		J Exp Zool	277	1997	245-54	J:38850	9062998
187	Loss of Apc and the entire chromosome 18 but absence of mutations at the Ras and Tp53 genes in intestinal tumors from Apc1638N, a mouse model for Apc-driven carcinogenesis.		Smits R; Kartheuser A; Jagmohan-Changur S; Leblanc V; Breukel C ; de Vries A ; van Kranen H ; van Krieken JH ; Williamson S ; Edelmann W ; Kucherlapati R ; KhanPM ; Fodde R		Carcinogenesis	18	1997	321-7	J:39174	9054624
188	DNA copy number changes associated with characteristic LOH in islet cell carcinomas of transgenic mice.		Shi YP; Naik P; Dietrich WF; Gray JW; Hanahan D; Pinkel D		Genes Chromosomes Cancer	19	1997	104-11	J:40588	9172001
189	Rapid colorectal adenoma formation initiated by conditional targeting of the Apc gene.		Shibata H; Toyama K; Shioya H; Ito M; Hirota M; Hasegawa S; Matsumoto H ; Takano H ; Akiyama T ; Toyoshima K ; Kanamaru R ; Kanegae Y ; Saito I ; Nakamura Y ; Shiba K ; Noda T		Science	278	1997	120-3	J:43301	9311916
